RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,18318661,Romeo,464,Austrelia,Female,34,4,202388.2,4,1,0,64339.87,0
2,75804843,Gerasimov,645,India,Female,30,2,10418.25,1,1,0,158364.88,1
3,18752486,Kay,676,China,Female,43,3,90185.31,2,0,1,16071.67,1
4,35153662,Jackson,650,USA,Male,23,1,228938.17,1,1,0,138163.15,1
5,32159796,Martinez,768,Austrelia,Female,25,7,170946.92,3,1,0,210431.25,0
6,95660461,Watson,427,USA,Male,87,9,97905.7,1,1,1,56651.44,0
7,16821425,Odinakachukwu,373,Austrelia,Male,21,9,129373.15,4,0,0,123787.69,1
8,30801311,Scott,533,Spain,Male,90,8,35573.32,2,1,0,60963.54,0
9,68269002,Odinakachukwu,667,Austrelia,Male,54,0,57511.07,2,0,1,25797.15,0
10,75248164,Watson,382,America,Female,83,1,185354.82,1,0,0,98167.39,0
11,70840950,Lopez,319,Germany,Female,81,8,213155.97,1,0,1,209390.86,1
12,33809438,Clements,741,India,Female,62,2,142072.33,3,0,0,57439.56,0
13,90147280,Watson,743,India,Male,55,4,84844.25,4,0,1,33033.27,0
14,59617959,Davis,608,USA,Male,47,1,78988.38,1,1,0,37749.12,0
15,77407921,Sanderson,326,Germany,Male,29,9,130104.01,1,1,0,151877.62,1
16,84766299,Sanderson,773,India,Male,46,2,94434.74,3,0,1,168138.36,1
17,60939485,Garcia,358,Spain,Male,69,6,20168.68,4,1,0,136199.11,0
18,59103260,Henderson,817,Spain,Female,34,9,217588.77,1,1,1,185624.18,0
19,87066037,Gerasimov,728,Spain,Male,39,2,115306.75,4,1,1,125342.32,1
20,35442796,Lombardo,826,China,Female,89,7,235218.84,4,0,0,207370.01,0
21,26989804,Jones,684,Spain,Female,85,1,86574.39,3,0,1,37425.23,1
22,21165391,Kay,542,Spain,Male,65,0,59025.49,2,1,1,202970.88,1
23,97800032,Lombardo,340,Austrelia,Female,43,0,153589.03,4,0,1,30483.7,0
24,24430365,Davis,370,China,Female,84,4,207971.48,3,1,1,153112.63,0
25,36815776,Martin,794,China,Male,81,9,115813.98,4,0,1,150885.01,0
26,58135763,Garcia,399,Austrelia,Female,44,6,82775.07,4,1,0,140408.03,0
27,21302765,Mitchell,841,France,Female,20,4,75666.76,4,1,1,97273.54,0
28,67857738,Dellucci,680,India,Male,66,7,213417.84,1,0,1,24479.15,0
29,77772681,Garcia,756,China,Female,89,0,87885.54,4,0,0,121998.02,1
30,83370125,Thomas,445,Germany,Female,80,7,204860.94,4,1,1,181490.4,0
31,98888775,Hill,392,USA,Male,55,3,53066.37,1,0,0,179815.29,0
32,28321439,Armstrong,740,India,Female,66,1,82433.87,1,1,1,69945.73,0
33,19254477,Chu,589,America,Male,79,9,161150.16,2,1,0,128406.79,0
34,74612977,Henderson,704,USA,Male,27,5,26301.72,2,1,0,72627.23,1
35,87711871,Chu,566,America,Female,56,6,190688.41,4,1,0,52847.59,1
36,19021169,Garcia,481,Germany,Male,84,8,237545.11,4,0,0,189620.32,1
37,74949125,Miller,848,France,Female,48,0,8576.82,1,0,0,138088.03,0
38,81729977,Davis,822,USA,Female,39,6,125247.3,3,1,0,162257.86,1
39,33351218,Hargrave,546,China,Male,52,3,195452.81,2,1,1,78106.1,0
40,57836592,Osborne,655,Spain,Female,37,9,22033.87,3,1,1,117201.42,1
41,16322636,Davis,380,Spain,Male,80,2,29217.75,2,1,1,63599.06,1
42,58931664,Martin,429,Spain,Male,30,5,165564.97,4,0,0,110052.18,0
43,69079611,Odinakachukwu,609,America,Male,27,6,15766.77,2,0,0,35074.16,0
44,28437706,Lucciano,336,USA,Male,47,7,187179.29,4,1,0,125560.48,0
45,75915969,Bearce,539,Germany,Female,64,8,141923.53,4,1,0,107652.76,0
46,27086343,Sanderson,844,Austrelia,Male,48,6,55209.31,3,0,1,144539.07,0
47,17276503,Romeo,595,USA,Female,87,8,192589.68,1,1,1,154199.14,1
48,46670455,Bianchi,406,Austrelia,Female,41,2,1488.07,3,1,0,236574.71,1
49,27403298,Cameron,326,Spain,Male,55,8,41231.44,1,0,1,75739.61,1
50,54648325,Lombardo,487,America,Female,23,7,209321.06,1,0,1,79722.83,0
51,78793766,Hernandez,782,China,Female,70,9,244045.46,3,0,1,188002.9,1
52,68882816,Jackson,343,Germany,Female,38,3,3690.15,4,1,0,159101.64,0
53,64132457,Moore,798,India,Male,54,10,212294.05,1,0,1,245034.57,0
54,67960633,Obinna,565,Germany,Male,82,10,17051.24,4,1,0,93502.08,0
55,45170714,Lombardo,308,France,Female,23,0,50421.33,1,0,1,29.7,1
56,63351183,Hao,394,France,Female,56,10,148816.91,1,0,0,6999.94,0
57,83875056,Jones,660,France,Male,67,1,130925.34,3,1,0,70092.88,1
58,74674191,Miller,508,Germany,Male,47,9,98738.94,1,1,0,232503.93,1
59,78263229,Chin,790,China,Female,39,2,46061.84,2,0,1,175653.96,0
60,66046570,McDonald,561,Austrelia,Male,26,6,226495.04,2,0,0,10604.1,0
61,71547003,Andrews,588,Austrelia,Female,33,4,25021.93,2,0,1,120948.11,0
62,95986643,Hargrave,335,India,Male,56,0,147010.39,2,1,0,170737.48,0
63,38272468,Rodriguez,457,Spain,Female,22,6,89214.13,3,0,1,229401.09,1
64,36781520,Young,771,France,Female,61,2,192987.08,3,0,0,136565.05,0
65,53403148,Anderson,485,USA,Female,43,3,216484.06,2,1,0,42338.85,1
66,55211659,Clarke,437,USA,Male,57,8,116510.4,3,1,1,104398.49,0
67,67005400,Romeo,709,China,Female,30,0,17836.92,4,1,1,145670.79,1
